order_id,order_date,customer_id,customer_name,store_id,product_id,quantity,unit_price
1,2024-11-14,4352,Rebecca Terry,39,72,3,156.73
2,2025-02-12,7303,Alan Reeves,40,57,5,50.53
3,2024-03-12,6805,Erik Watkins Jr.,36,117,4,316.22
4,2023-06-12,6093,Brandon Young,31,111,4,154.99
5,2023-09-23,6159,Ashley Leach,18,32,5,100.6
6,2024-05-11,5135,Stephanie Galvan,18,31,4,150.13
7,2023-03-21,5846,Daniel Barton,16,37,3,39.24
8,2023-12-10,2620,Kayla Martin,35,115,1,221.53
9,2023-05-22,1236,Rebecca Mendez,25,30,2,277.84
10,2024-12-24,1753,Amy Graham,27,9,4,121.58
11,2023-12-05,4446,Yvette Dominguez,27,60,1,258.37
12,2023-07-31,6824,Linda Marks,25,54,5,92.28
13,2024-12-13,161,Emily Smith,37,110,4,59.31
14,2024-05-03,49,Julie Grant,20,46,4,294.7
15,2025-05-23,7305,Victoria James,27,107,5,31.48
16,2025-02-04,6019,Daniel Gray,39,70,2,200.25
17,2024-05-14,1798,Christopher Mullen,28,35,4,74.18
18,2023-01-30,3186,Tiffany Alexander,26,44,2,175.73
19,2025-05-10,3829,Brandon Scott,9,118,5,168.6
20,2024-06-30,221,Kristin Davis,26,117,5,316.22
21,2024-07-31,5432,Marcus Russell,6,4,4,257.98
22,2023-05-19,7102,Peter Buchanan,12,60,1,258.37
23,2023-09-24,3106,Kristie Gonzalez,14,42,4,390.9
24,2023-12-01,2765,Tim Miller,25,98,3,53.01
25,2025-02-09,7793,Amber Matthews,27,107,3,31.48
26,2025-05-04,671,Maria Lucas,2,61,5,115.45
27,2023-02-23,7799,Colton Stokes,15,45,1,405.0
28,2025-03-10,7843,Kayla Luna,3,84,1,283.39
29,2023-09-11,1634,Lisa Gibson,2,108,5,145.79
30,2023-06-06,1955,Jason King,31,17,1,67.0
31,2024-07-31,7765,Samantha Smith,30,28,3,124.5
32,2025-02-24,3022,Jessica Clark,39,22,5,754.9
33,2025-02-04,5885,Mary Welch,11,15,3,752.35
34,2023-04-21,4741,Paul Young,20,4,5,257.98
35,2024-11-24,7439,Daniel Perez,26,49,2,87.06
36,2023-03-19,4851,Barbara Miller,16,89,1,161.36
37,2024-12-14,6329,Heather Rose,39,39,1,195.2
